area_type,location,total_sqft,bath,balcony,price,bhk,price_per_sqft,total_rooms
Super built-up  Area,Chikkalasandra,1290.0,2.0,2.0,56.12,3.0,4350.387596899225,5.0
Built-up  Area,Uttarahalli,1143.0,2.0,2.0,45.0,2.0,3937.0078740157483,4.0
Built-up  Area,Murugeshpalya,1296.0,2.0,2.0,81.0,2.0,6250.0,4.0
Super built-up  Area,Sarjapur  Road,1254.0,3.0,2.0,38.0,3.0,3030.3030303030305,6.0
Super built-up  Area,Other,600.0,1.0,0.0,38.0,1.0,6333.333333333333,2.0
Plot  Area,Yelahanka,660.0,1.0,0.0,48.0,1.0,7272.727272727273,2.0
Super built-up  Area,Kanakpura Road,1330.74,2.0,2.0,91.79,2.0,6897.665960292769,4.0
Super built-up  Area,Doddathoguru,970.0,2.0,0.0,33.0,2.0,3402.061855670103,4.0
Super built-up  Area,Whitefield,1459.0,2.0,1.0,94.82,2.0,6498.971898560658,4.0
Plot  Area,KR Puram,800.0,1.0,1.0,130.0,2.0,16250.0,3.0
Built-up  Area,Other,869.0,2.0,1.0,36.0,2.0,4142.692750287687,4.0
Super built-up  Area,Other,1270.0,2.0,1.0,50.0,2.0,3937.0078740157483,4.0
Super built-up  Area,Bhoganhalli,1670.0,3.0,1.0,99.0,3.0,5928.143712574851,6.0
Built-up  Area,Whitefield,2010.0,3.0,2.0,91.0,3.0,4527.363184079602,6.0
Super built-up  Area,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2.0,6329.113924050633,4.0
Super built-up  Area,Yelahanka,1600.0,2.0,3.0,75.0,3.0,4687.5,5.0
Super built-up  Area,Begur Road,1200.0,2.0,2.0,44.0,2.0,3666.6666666666665,4.0
Super built-up  Area,Other,1500.0,2.0,2.0,185.0,2.0,12333.333333333334,4.0
Super built-up  Area,Other,840.0,2.0,2.0,45.0,2.0,5357.142857142857,4.0
Plot  Area,Other,4395.0,3.0,2.0,240.0,3.0,5460.750853242321,6.0
Super built-up  Area,Other,845.0,2.0,1.0,55.0,2.0,6508.87573964497,4.0
Plot  Area,Whitefield,5700.0,5.0,3.0,650.0,4.0,11403.508771929824,9.0
Built-up  Area,Varthur,1160.0,2.0,2.0,44.0,2.0,3793.103448275862,4.0
Built-up  Area,Bommanahalli,3000.0,8.0,0.0,140.0,8.0,4666.666666666667,16.0
Super built-up  Area,Doddathoguru,1100.0,2.0,1.0,62.0,2.0,5636.363636363636,4.0
Super built-up  Area,Gunjur,1140.0,2.0,3.0,43.0,2.0,3771.9298245614036,4.0
Super built-up  Area,Marathahalli,1220.0,2.0,1.0,57.0,2.0,4672.131147540984,4.0
Super built-up  Area,Kanakpura Road,1005.0,2.0,1.0,36.68,2.0,3649.7512437810947,4.0
Super built-up  Area,Begur Road,1358.0,2.0,1.0,80.58,2.0,5933.726067746687,4.0
Super built-up  Area,Hegde Nagar,1569.0,3.0,1.0,101.0,3.0,6437.221159974506,6.0
Super built-up  Area,Haralur Road,1240.0,2.0,1.0,70.0,2.0,5645.1612903225805,4.0
Super built-up  Area,Hennur Road,2089.0,3.0,2.0,140.0,3.0,6701.771182383915,6.0
Super built-up  Area,Kothannur,1206.0,2.0,1.0,48.23,2.0,3999.1708126036483,4.0
Super built-up  Area,Kalena Agrahara,1150.0,2.0,3.0,40.0,2.0,3478.2608695652175,4.0
Built-up  Area,Other,2511.0,3.0,3.0,205.0,3.0,8164.078056551175,6.0
Built-up  Area,ISRO Layout,4400.0,6.0,3.0,250.0,6.0,5681.818181818182,12.0
Super built-up  Area,Other,1660.0,2.0,2.0,105.0,3.0,6325.301204819277,5.0
Super built-up  Area,Yelahanka,1326.0,2.0,2.0,78.0,2.0,5882.35294117647,4.0
Super built-up  Area,Garudachar Palya,1325.0,2.0,2.0,60.8,3.0,4588.679245283019,5.0
Super built-up  Area,EPIP Zone,1499.0,5.0,2.0,102.0,3.0,6804.536357571715,8.0
Built-up  Area,Hegde Nagar,3000.0,7.0,2.0,210.0,6.0,7000.0,13.0
Super built-up  Area,Kanakpura Road,1665.0,3.0,2.0,88.0,3.0,5285.285285285286,6.0
Super built-up  Area,Dasanapura,708.0,2.0,2.0,37.0,2.0,5225.988700564972,4.0
Super built-up  Area,Kasavanhalli,1060.0,2.0,2.0,58.06,2.0,5477.358490566037,4.0
Built-up  Area,Sanjay nagar,1000.0,2.0,2.0,70.0,2.0,7000.0,4.0
Super built-up  Area,Electronic City,1000.0,2.0,1.0,28.88,2.0,2888.0,4.0
Super built-up  Area,Other,1450.0,2.0,2.0,70.0,3.0,4827.586206896552,5.0
Plot  Area,ISRO Layout,1200.0,4.0,2.0,155.0,4.0,12916.666666666666,8.0
Super built-up  Area,Thanisandra,1296.0,2.0,3.0,80.0,2.0,6172.83950617284,4.0
Super built-up  Area,Domlur,1540.0,3.0,2.0,90.0,3.0,5844.1558441558445,6.0
Plot  Area,Kengeri,2894.0,4.0,1.0,245.0,4.0,8465.791292328957,8.0
Super built-up  Area,Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,3.0,3609.0225563909776,5.0
Built-up  Area,Other,1200.0,2.0,1.0,65.0,2.0,5416.666666666667,4.0
Built-up  Area,Other,1200.0,3.0,1.0,90.0,3.0,7500.0,6.0
Super built-up  Area,Yeshwanthpur,2502.0,3.0,3.0,138.0,3.0,5515.587529976019,6.0
Built-up  Area,Chandapura,650.0,1.0,1.0,17.0,2.0,2615.3846153846152,3.0
Plot  Area,Kothanur,2400.0,2.0,1.0,150.0,3.0,6250.0,5.0
Super built-up  Area,Other,1007.0,2.0,2.0,43.0,2.0,4270.109235352532,4.0
Super built-up  Area,Other,1200.0,2.0,2.0,50.0,2.0,4166.666666666667,4.0
Super built-up  Area,Other,966.0,2.0,2.0,49.9,2.0,5165.631469979296,4.0
Built-up  Area,Nagarbhavi,1630.0,2.0,1.0,98.0,3.0,6012.269938650306,5.0
Built-up  Area,Rajaji Nagar,1640.0,3.0,2.0,229.0,3.0,13963.414634146342,6.0
Built-up  Area,Other,782.0,2.0,2.0,55.68,2.0,7120.204603580562,4.0
Super built-up  Area,Devanahalli,1260.0,2.0,2.0,66.78,2.0,5300.0,4.0
Super built-up  Area,Other,1800.0,3.0,3.0,120.0,3.0,6666.666666666667,6.0
Super built-up  Area,Other,1413.0,2.0,2.0,75.0,3.0,5307.855626326964,5.0
Super built-up  Area,Whitefield,1116.0,2.0,1.0,51.91,2.0,4651.433691756272,4.0
Super built-up  Area,Electronic City,1530.0,2.0,1.0,45.9,3.0,3000.0,5.0
Built-up  Area,Ramamurthy Nagar,3700.0,4.0,1.0,225.0,4.0,6081.081081081081,8.0
Built-up  Area,Sarjapur  Road,2497.0,3.0,2.0,140.0,3.0,5606.728073688426,6.0
Super built-up  Area,Kengeri,1540.0,2.0,3.0,64.0,3.0,4155.8441558441555,5.0
Super built-up  Area,Thanisandra,1436.0,3.0,1.0,74.75,3.0,5205.431754874652,6.0
Super built-up  Area,Malleshwaram,1100.0,2.0,2.0,75.0,2.0,6818.181818181818,4.0
Super built-up  Area,Thanisandra,1427.0,3.0,2.0,120.0,3.0,8409.250175192712,6.0
Super built-up  Area,Akshaya Nagar,2061.0,3.0,1.0,200.0,3.0,9704.02717127608,6.0
Super built-up  Area,Hebbal,5611.5,4.0,0.0,477.0,4.0,8500.400962309543,8.0
Built-up  Area,Shampura,2650.0,4.0,2.0,150.0,4.0,5660.377358490566,8.0
Super built-up  Area,Devanahalli,1282.0,2.0,2.0,68.52,3.0,5344.773790951638,5.0
Built-up  Area,Kadugodi,1050.0,2.0,1.0,34.0,2.0,3238.095238095238,4.0
Built-up  Area,LB Shastri Nagar,1600.0,3.0,2.0,65.0,3.0,4062.5,6.0
Super built-up  Area,Other,945.0,2.0,1.0,54.0,2.0,5714.285714285715,4.0
Super built-up  Area,Hormavu,1500.0,2.0,1.0,78.0,2.0,5200.0,4.0
Built-up  Area,Other,1870.0,3.0,3.0,110.0,3.0,5882.35294117647,6.0
Plot  Area,Sarjapur,1600.0,3.0,1.0,75.0,3.0,4687.5,6.0
Super built-up  Area,Electronic City,880.0,1.0,1.0,16.5,2.0,1875.0,3.0
Plot  Area,Other,1200.0,4.0,0.0,210.0,4.0,17500.0,8.0
Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,83.0,3.0,5407.166123778502,6.0
Built-up  Area,Kanakpura Road,950.0,2.0,1.0,57.0,2.0,6000.0,4.0
Super built-up  Area,Devanahalli,1360.0,2.0,1.0,65.0,2.0,4779.411764705882,4.0
Super built-up  Area,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2.0,5030.740568234746,4.0
Super built-up  Area,Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,3.0,3937.5,6.0
Super built-up  Area,Other,1260.0,2.0,2.0,85.05,3.0,6750.0,5.0
Built-up  Area,Hennur Road,5000.0,8.0,2.0,250.0,8.0,5000.0,16.0
Super built-up  Area,Yelahanka,3050.0,5.0,1.0,213.0,5.0,6983.606557377049,10.0
Super built-up  Area,Kasavanhalli,1563.05,3.0,1.0,105.0,3.0,6717.635392341896,6.0
Super built-up  Area,ISRO Layout,1000.0,2.0,1.0,60.0,2.0,6000.0,4.0
Super built-up  Area,Anandapura,1167.0,2.0,1.0,43.76,2.0,3749.7857754927163,4.0
Super built-up  Area,Vishveshwarya Layout,4000.0,7.0,2.0,225.0,7.0,5625.0,14.0
Super built-up  Area,Kothanur,1828.0,3.0,2.0,110.0,3.0,6017.505470459519,6.0
Super built-up  Area,Kengeri Satellite Town,890.0,2.0,1.0,35.0,2.0,3932.5842696629215,4.0
Super built-up  Area,Other,1612.0,3.0,3.0,46.74,3.0,2899.5037220843674,6.0
Super built-up  Area,Mysore Road,1710.0,4.0,2.0,91.31,3.0,5339.766081871345,7.0
Super built-up  Area,Kannamangala,957.0,2.0,1.0,58.0,2.0,6060.606060606061,4.0
Super built-up  Area,Devarachikkanahalli,1250.0,2.0,3.0,44.0,3.0,3520.0,5.0
Super built-up  Area,Other,2795.0,4.0,2.0,235.0,3.0,8407.871198568873,7.0
Super built-up  Area,Hulimavu,1125.0,2.0,2.0,50.0,2.0,4444.444444444444,4.0
Super built-up  Area,Electronic City Phase II,1020.0,2.0,1.0,30.6,2.0,3000.0,4.0
Super built-up  Area,Kalena Agrahara,1200.0,2.0,2.0,50.0,2.0,4166.666666666667,4.0
Super built-up  Area,Thanisandra,1735.0,3.0,3.0,135.0,3.0,7780.979827089337,6.0
Super built-up  Area,Thanisandra,2050.0,3.0,1.0,145.0,3.0,7073.170731707317,6.0
Plot  Area,Mahalakshmi Layout,3750.0,4.0,0.0,760.0,4.0,20266.666666666668,8.0
Built-up  Area,Other,1350.0,2.0,3.0,48.0,3.0,3555.5555555555557,5.0
Super built-up  Area,Hosa Road,1063.0,2.0,1.0,32.0,2.0,3010.348071495767,4.0
Super built-up  Area,Other,1904.0,3.0,1.0,150.0,3.0,7878.151260504202,6.0
Built-up  Area,Whitefield,4200.0,4.0,2.0,420.0,4.0,10000.0,8.0
Super built-up  Area,Other,2000.0,3.0,1.0,175.0,3.0,8750.0,6.0
Super built-up  Area,Sarjapur,1242.5,2.0,0.0,43.49,2.0,3500.201207243461,4.0
Super built-up  Area,Other,1425.0,2.0,2.0,75.0,3.0,5263.1578947368425,5.0
Super built-up  Area,Electronic City,1500.0,2.0,1.0,64.5,3.0,4300.0,5.0
Built-up  Area,Electronic City,1060.0,2.0,1.0,60.0,2.0,5660.377358490566,4.0
Built-up  Area,Other,1470.0,2.0,2.0,70.0,3.0,4761.9047619047615,5.0
Super built-up  Area,Attibele,450.0,1.0,1.0,11.0,1.0,2444.4444444444443,2.0
Super built-up  Area,Electronic City,1152.0,2.0,1.0,64.5,2.0,5598.958333333333,4.0
Super built-up  Area,Electronic City,1350.0,2.0,1.0,56.0,3.0,4148.148148148148,5.0
Super built-up  Area,CV Raman Nagar,1550.0,3.0,3.0,65.0,3.0,4193.548387096775,6.0
Plot  Area,Other,1500.0,3.0,2.0,100.0,3.0,6666.666666666667,6.0
Plot  Area,Nagavara,400.0,1.0,0.0,14.0,1.0,3500.0,2.0
Super built-up  Area,Malleshwaram,705.0,1.0,2.0,67.0,1.0,9503.54609929078,2.0
Built-up  Area,Electronic City,770.0,1.0,1.0,36.0,2.0,4675.324675324675,3.0
Super built-up  Area,Hulimavu,1242.0,2.0,3.0,51.0,2.0,4106.280193236715,4.0
Super built-up  Area,Hebbal Kempapura,1700.0,3.0,2.0,155.0,3.0,9117.64705882353,6.0
Super built-up  Area,Thanisandra,2144.0,3.0,2.0,145.0,3.0,6763.059701492537,6.0
Super built-up  Area,Vijayanagar,1704.0,3.0,2.0,110.0,3.0,6455.399061032864,6.0
Super built-up  Area,Electronic City,1070.0,2.0,1.0,52.0,2.0,4859.813084112149,4.0
Plot  Area,Other,1846.0,3.0,2.0,300.0,3.0,16251.354279523293,6.0
Super built-up  Area,Other,1340.0,2.0,2.0,55.7,2.0,4156.7164179104475,4.0
Built-up  Area,Electronic City,1025.0,2.0,1.0,46.0,2.0,4487.804878048781,4.0
Super built-up  Area,KR Puram,1277.5,2.0,0.0,56.8,2.0,4446.183953033268,4.0
Super built-up  Area,Marathahalli,1200.0,2.0,2.0,52.0,2.0,4333.333333333333,4.0
Built-up  Area,Kanakpura Road,2250.0,4.0,1.0,110.0,4.0,4888.888888888889,8.0
Super built-up  Area,Other,1550.0,2.0,3.0,80.0,3.0,5161.290322580645,5.0
Plot  Area,Bellandur,1200.0,5.0,2.0,325.0,4.0,27083.333333333332,9.0
Super built-up  Area,Marathahalli,1200.0,2.0,2.0,60.0,2.0,5000.0,4.0
Super built-up  Area,Yelahanka,1327.0,2.0,2.0,98.0,2.0,7385.079125847777,4.0
Super built-up  Area,Kothanur,1186.0,2.0,2.0,58.0,2.0,4890.387858347386,4.0
Built-up  Area,Other,1783.0,3.0,1.0,115.0,3.0,6449.8037016264725,6.0
Super built-up  Area,HSR Layout,1400.0,3.0,2.0,56.0,3.0,4000.0,6.0
Super built-up  Area,Nagasandra,980.0,2.0,1.0,48.0,2.0,4897.959183673469,4.0
Super built-up  Area,EPIP Zone,1285.0,2.0,2.0,82.0,2.0,6381.322957198444,4.0
Super built-up  Area,Other,912.0,2.0,1.0,70.0,3.0,7675.438596491228,5.0
Built-up  Area,Whitefield,1225.0,2.0,2.0,47.6,2.0,3885.714285714286,4.0
Super built-up  Area,Whitefield,1075.0,2.0,1.0,53.0,2.0,4930.232558139535,4.0
Built-up  Area,Kadugodi,1260.0,2.0,2.0,54.0,3.0,4285.714285714285,5.0
Super built-up  Area,Yelahanka,1282.0,2.0,2.0,48.7,3.0,3798.751950078003,5.0
Super built-up  Area,Kogilu,1909.0,3.0,2.0,88.0,3.0,4609.743321110529,6.0
Super built-up  Area,Panathur,1359.0,2.0,1.0,87.0,2.0,6401.766004415011,4.0
Built-up  Area,Other,1207.0,2.0,2.0,43.5,2.0,3603.976801988401,4.0
Plot  Area,Padmanabhanagar,1736.0,6.0,0.0,190.0,4.0,10944.700460829494,10.0
Super built-up  Area,1st Block Jayanagar,2850.0,4.0,1.0,428.0,4.0,15017.543859649122,8.0
Super built-up  Area,Kammasandra,1595.0,3.0,2.0,65.0,3.0,4075.2351097178685,6.0
Built-up  Area,Other,1798.0,3.0,2.0,89.0,3.0,4949.944382647386,6.0
Super built-up  Area,Electronics City Phase 1,1475.0,3.0,2.0,78.29,3.0,5307.796610169492,6.0
Super built-up  Area,Other,1580.0,3.0,3.0,100.0,3.0,6329.113924050633,6.0
Super built-up  Area,Dasarahalli,1295.0,2.0,1.0,65.0,2.0,5019.305019305019,4.0
Built-up  Area,Magadi Road,3600.0,6.0,0.0,141.0,6.0,3916.6666666666665,12.0
Super built-up  Area,Electronic City,589.0,1.0,1.0,27.0,1.0,4584.040747028863,2.0
Super built-up  Area,Other,1415.0,3.0,3.0,78.0,3.0,5512.367491166077,6.0
Super built-up  Area,Sarjapur  Road,1787.0,3.0,2.0,98.29,3.0,5500.279798545048,6.0
Super built-up  Area,Sarjapur  Road,1787.0,3.0,2.0,125.0,3.0,6994.963626189144,6.0
Super built-up  Area,Koramangala,1475.0,2.0,3.0,90.0,3.0,6101.6949152542375,5.0
Built-up  Area,Other,2000.0,4.0,1.0,75.5,4.0,3775.0,8.0
Super built-up  Area,Sarjapur  Road,984.0,2.0,1.0,44.28,2.0,4500.0,4.0
Super built-up  Area,Other,2405.0,4.0,2.0,260.0,3.0,10810.81081081081,7.0
Built-up  Area,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2.0,6666.666666666667,4.0
Plot  Area,Other,1500.0,2.0,1.0,115.0,2.0,7666.666666666667,4.0
Super built-up  Area,Hebbal,1900.0,3.0,2.0,119.0,3.0,6263.1578947368425,6.0
Super built-up  Area,Dommasandra,805.0,2.0,1.0,22.14,2.0,2750.3105590062114,4.0
Super built-up  Area,Budigere,1153.0,2.0,2.0,56.4,2.0,4891.587163920208,4.0
Super built-up  Area,Other,1148.0,2.0,2.0,60.0,2.0,5226.480836236934,4.0
Super built-up  Area,Other,1110.0,2.0,2.0,55.0,2.0,4954.954954954955,4.0
Built-up  Area,Electronic City,1100.0,2.0,2.0,42.0,2.0,3818.181818181818,4.0
Super built-up  Area,Kalyan nagar,1290.0,2.0,2.0,110.0,2.0,8527.131782945737,4.0
Super built-up  Area,Other,1500.0,2.0,1.0,65.0,3.0,4333.333333333333,5.0
Super built-up  Area,Other,1080.0,2.0,2.0,39.0,2.0,3611.1111111111113,4.0
Super built-up  Area,Vijayanagar,1933.0,3.0,1.0,129.0,3.0,6673.564407656492,6.0
Built-up  Area,Ramamurthy Nagar,3500.0,5.0,2.0,150.0,5.0,4285.714285714285,10.0
Built-up  Area,Other,1060.0,2.0,2.0,60.0,2.0,5660.377358490566,4.0
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1.0,2550.3875968992247,2.0
Plot  Area,Other,2600.0,8.0,2.0,180.0,8.0,6923.076923076923,16.0
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1.0,2550.3875968992247,2.0
Super built-up  Area,Other,1644.0,3.0,3.0,84.0,3.0,5109.489051094891,6.0
Super built-up  Area,Other,1285.0,2.0,3.0,72.5,2.0,5642.023346303502,4.0
Plot  Area,Electronic City,1200.0,3.0,1.0,90.0,3.0,7500.0,6.0
Super built-up  Area,Electronic City,910.0,2.0,1.0,40.0,2.0,4395.604395604396,4.0
Super built-up  Area,Kothanur,1577.0,3.0,1.0,70.0,3.0,4438.807863031072,6.0
Plot  Area,Other,4050.0,3.0,2.0,280.0,3.0,6913.580246913581,6.0
Super built-up  Area,OMBR Layout,2420.0,3.0,2.0,185.0,3.0,7644.628099173554,6.0
Super built-up  Area,Chandapura,800.0,1.0,1.0,20.0,2.0,2500.0,3.0
Built-up  Area,Other,1060.0,2.0,2.0,55.0,2.0,5188.679245283019,4.0
Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2.0,7322.834645669292,4.0
Super built-up  Area,Other,900.0,2.0,2.0,22.5,2.0,2500.0,4.0
Built-up  Area,Other,1280.0,2.0,1.0,69.0,2.0,5390.625,4.0
Plot  Area,Horamavu Agara,1200.0,2.0,0.0,95.0,4.0,7916.666666666667,6.0
Built-up  Area,Sarjapur  Road,1025.0,2.0,2.0,36.0,2.0,3512.1951219512193,4.0
Super built-up  Area,Electronic City,1108.0,2.0,1.0,63.0,2.0,5685.9205776173285,4.0
Super built-up  Area,Other,3045.0,3.0,2.0,170.0,3.0,5582.922824302134,6.0
Plot  Area,Ambedkar Nagar,2900.0,3.0,2.0,300.0,4.0,10344.827586206897,7.0
Super built-up  Area,Vijayanagar,1500.0,3.0,2.0,75.5,3.0,5033.333333333333,6.0
Super built-up  Area,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2.0,3389.96138996139,4.0
Super built-up  Area,Budigere,1162.0,2.0,1.0,59.9,2.0,5154.9053356282275,4.0
Super built-up  Area,Sarjapur  Road,1035.0,2.0,2.0,49.2,2.0,4753.623188405797,4.0
Built-up  Area,Attibele,1600.0,4.0,0.0,52.8,4.0,3300.0,8.0
Super built-up  Area,Other,1464.0,3.0,2.0,46.0,3.0,3142.0765027322404,6.0
Super built-up  Area,Hennur Road,1866.0,2.0,2.0,61.58,3.0,3300.10718113612,5.0
Super built-up  Area,Other,700.0,1.0,1.0,26.0,2.0,3714.285714285714,3.0
Super built-up  Area,Kalena Agrahara,1804.0,3.0,2.0,120.0,3.0,6651.884700665189,6.0
Super built-up  Area,Sarjapur,913.0,2.0,1.0,32.0,2.0,3504.9288061336256,4.0
Super built-up  Area,Talaghattapura,1868.0,3.0,2.0,131.0,3.0,7012.847965738758,6.0
Built-up  Area,Kengeri Satellite Town,883.0,2.0,1.0,45.0,2.0,5096.262740656852,4.0
Plot  Area,Other,900.0,2.0,1.0,110.0,2.0,12222.222222222223,4.0
Super built-up  Area,Kogilu,1664.0,2.0,3.0,73.95,3.0,4444.110576923077,5.0
Super built-up  Area,Hegde Nagar,2026.0,3.0,2.0,132.0,3.0,6515.301085883514,6.0
Super built-up  Area,Balagere,1210.0,2.0,1.0,80.9,2.0,6685.950413223141,4.0
Plot  Area,Other,4111.0,4.0,2.0,250.0,4.0,6081.24543906592,8.0
Super built-up  Area,Kadugodi,1762.0,3.0,3.0,91.45,3.0,5190.124858115778,6.0
Super built-up  Area,Jigani,1252.0,3.0,3.0,55.0,3.0,4392.97124600639,6.0
Built-up  Area,Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,2.0,4006.968641114983,4.0
Built-up  Area,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3.0,7042.2535211267605,5.0
Built-up  Area,Electronics City Phase 1,1490.0,3.0,1.0,78.8,3.0,5288.5906040268455,6.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,46.0,3.0,4279.069767441861,5.0
Super built-up  Area,Old Madras Road,1425.0,2.0,2.0,94.0,3.0,6596.491228070176,5.0
Built-up  Area,Kalena Agrahara,1200.0,2.0,1.0,40.0,2.0,3333.3333333333335,4.0
Super built-up  Area,Kaggadasapura,1280.0,2.0,2.0,56.0,3.0,4375.0,5.0
Super built-up  Area,Other,1084.0,2.0,2.0,50.0,2.0,4612.546125461255,4.0
Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2.0,2549.753694581281,4.0
Super built-up  Area,Kanakpura Road,1017.0,2.0,1.0,51.25,2.0,5039.331366764995,4.0
Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2.0,4284.323271665044,4.0
Super built-up  Area,Electronic City Phase II,1069.0,2.0,2.0,45.0,2.0,4209.541627689429,4.0
Super built-up  Area,Hebbal,1349.0,2.0,1.0,98.2,2.0,7279.466271312083,4.0
Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2.0,4975.124378109453,4.0
Super built-up  Area,Jakkur,1417.0,2.0,3.0,75.0,2.0,5292.87226534933,4.0
Plot  Area,TC Palaya,1475.0,3.0,1.0,98.0,3.0,6644.067796610169,6.0
Carpet  Area,Other,950.0,2.0,2.0,47.0,2.0,4947.368421052632,4.0
Super built-up  Area,Other,2000.0,4.0,0.0,120.0,4.0,6000.0,8.0
Super built-up  Area,Sarjapur  Road,1863.0,3.0,2.0,104.0,4.0,5582.393988191089,7.0
Super built-up  Area,Singasandra,1010.0,2.0,1.0,29.5,2.0,2920.792079207921,4.0
Super built-up  Area,Kalena Agrahara,1425.0,2.0,1.0,70.0,3.0,4912.2807017543855,5.0
Super built-up  Area,Vijayanagar,1450.0,3.0,0.0,100.0,3.0,6896.551724137931,6.0
Super built-up  Area,Kothanur,1847.0,3.0,2.0,105.0,3.0,5684.89442338928,6.0
Super built-up  Area,AECS Layout,1100.0,2.0,3.0,45.0,2.0,4090.909090909091,4.0
Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,26.0,1.0,4952.380952380952,2.0
Super built-up  Area,Mallasandra,1665.0,3.0,2.0,95.0,3.0,5705.705705705705,6.0
Super built-up  Area,Begur,1664.0,4.0,3.0,65.0,4.0,3906.25,8.0
